Transaction Date,Opening Price,High Price,Low Price,Close Price,Turnover Volume,Turnover Amount
2023/4/20,5.11,5.15,5.06,5.14,20780430,106326520
2023/4/21,5.14,5.21,5.05,5.07,31305620,160306240
2023/4/24,4.96,5.13,4.91,5.06,32846946,165965168
2023/4/25,5.09,5.09,4.87,4.95,32224784,159731184
2023/4/26,4.93,5.12,4.92,5.06,26875514,135957760
2023/4/27,5.02,5.1,4.98,5.06,17304755,87533656
2023/4/28,5.06,5.12,5.05,5.11,15380880,78273496
2023/5/4,5.14,5.27,5.1,5.24,32467560,168615600
2023/5/5,5.27,5.29,5.16,5.2,22129473,114916312
2023/5/8,5.29,5.33,5.2,5.22,20350040,106995184
2023/5/9,5.2,5.23,5.1,5.11,20060378,103537328
2023/5/10,5.1,5.27,5.06,5.21,16978112,87534632
2023/5/11,5.23,5.23,5.15,5.21,14301155,74241328
2023/5/12,5.24,5.25,5.13,5.13,13550993,70122352
2023/5/15,5.12,5.2,5.03,5.12,14195286,72298952
2023/5/16,5.19,5.2,5.05,5.06,12015784,61297084
2023/5/17,5.08,5.22,5.04,5.2,18447444,95208912
2023/5/18,5.2,5.39,5.18,5.35,30629795,162757936
2023/5/19,5.35,5.47,5.3,5.39,29792964,160991008
2023/5/22,5.34,5.38,5.22,5.24,23165148,122021872
2023/5/23,5.26,5.29,5.1,5.11,20160858,104160104
2023/5/24,5.1,5.25,5.08,5.16,14682645,75781944
2023/5/25,5.14,5.19,5.04,5.12,17311648,88359712
2023/5/26,5.11,5.17,5.06,5.14,11694200,59819496
2023/5/29,5.14,5.18,5.06,5.09,13986728,71561320
2023/5/30,5.09,5.11,4.98,5.08,15001187,75570136
2023/5/31,5.05,5.05,4.98,5.01,12213533,61172612
2023/6/1,5.03,5.25,4.96,5.15,27274920,140418384
2023/6/2,5.14,5.17,5.07,5.07,15779960,80674824
2023/6/5,5.07,5.12,5.04,5.07,11276481,57249580
2023/6/6,5.1,5.11,4.92,4.94,15463545,77314784
2023/6/7,4.96,4.98,4.84,4.87,16681146,81707664
2023/6/8,4.89,4.9,4.81,4.85,11913726,57849872
2023/6/9,4.85,4.89,4.8,4.86,10866086,52684704
2023/6/12,4.89,5.03,4.87,5,15734957,78016760
2023/6/13,5,5.23,4.97,5.14,27191728,139709392
2023/6/14,5.16,5.25,5.13,5.25,20908740,108882648
2023/6/15,5.25,5.29,5.2,5.26,17555261,92251736
2023/6/16,5.25,5.41,5.25,5.38,24144387,129615688
2023/6/19,5.37,5.53,5.37,5.5,30195767,165234784
2023/6/20,5.45,5.62,5.41,5.51,26182621,144693840
2023/6/21,5.53,5.61,5.48,5.54,30279239,168158304
2023/6/26,5.58,5.64,5.4,5.44,27446598,151199280
2023/6/27,5.49,5.63,5.41,5.6,25038681,139105744
2023/6/28,5.61,5.7,5.51,5.63,20421792,114024352
2023/6/29,5.62,5.86,5.6,5.75,26425862,152250976
2023/6/30,5.73,5.8,5.68,5.74,21427156,122993808
2023/7/3,5.77,5.85,5.67,5.68,19276100,110485840
2023/7/4,5.66,5.78,5.66,5.69,16612453,95065672
2023/7/5,5.73,5.79,5.66,5.73,19183379,110054968
2023/7/6,5.7,5.78,5.63,5.72,15592675,89197840
2023/7/7,5.7,5.75,5.64,5.66,14314203,81464896
2023/7/10,5.7,5.73,5.63,5.65,12948222,73479536
2023/7/11,5.69,5.78,5.66,5.77,15188779,87156952
2023/7/12,5.78,5.8,5.56,5.6,28096369,158877584
2023/7/13,5.69,5.73,5.47,5.58,27519072,153089536
2023/7/14,5.61,5.65,5.53,5.61,15594600,87340400
2023/7/17,5.59,5.59,5.48,5.57,12568860,69600936
2023/7/18,5.61,5.72,5.58,5.65,19719097,111625872
2023/7/19,5.65,5.7,5.58,5.64,13247180,74582512
2023/7/20,5.64,5.76,5.57,5.58,20759500,117531816
2023/7/21,5.56,5.57,5.46,5.48,14724660,81036936
2023/7/24,5.46,5.59,5.46,5.49,14245884,78721320
2023/7/25,5.51,5.58,5.48,5.56,13659217,75482016
2023/7/26,5.63,5.64,5.38,5.4,26990389,147099792
2023/7/27,5.45,5.52,5.34,5.37,16818440,91166408
2023/7/28,5.37,5.43,5.31,5.4,16765343,90190024
2023/7/31,5.42,5.53,5.39,5.47,15612120,85630168
2023/8/1,5.55,5.55,5.37,5.41,17322183,93888296
2023/8/2,5.4,5.52,5.38,5.48,15878378,86749776
2023/8/3,5.45,5.48,5.4,5.41,10990580,59690176
2023/8/4,5.43,5.51,5.41,5.48,15255540,83484872
2023/8/7,5.47,5.6,5.43,5.57,21743319,120166432
2023/8/8,5.55,5.58,5.4,5.42,23037256,125659168
2023/8/9,5.4,5.41,5.29,5.31,14480200,77288888
2023/8/10,5.3,5.39,5.3,5.36,11125984,59478648
2023/8/11,5.35,5.35,5.21,5.23,15600706,82024816
2023/8/14,5.21,5.35,5.17,5.33,15928120,83875192
2023/8/15,5.33,5.34,5.2,5.26,9813058,51680676
2023/8/16,5.26,5.26,5.17,5.17,10192420,53047228
2023/8/17,5.16,5.33,5.12,5.31,14112412,74121504
2023/8/18,5.29,5.37,5.2,5.21,9712643,51255188
2023/8/21,5.21,5.3,5.12,5.12,10817268,56166344
2023/8/22,5.17,5.19,5.07,5.15,10026400,51375792
2023/8/23,5.16,5.2,5.07,5.12,11183011,57494772
2023/8/24,5.12,5.17,5.05,5.07,11164484,56909308
2023/8/25,5.07,5.13,5,5.02,12262040,61961000
2023/8/28,5.28,5.32,5.04,5.06,20708531,107266776
2023/8/29,5.09,5.32,5.06,5.31,22225784,116531088
2023/8/30,5.32,5.43,5.31,5.37,19255273,103517336
2023/8/31,5.38,5.46,5.33,5.36,13384694,72023120
2023/9/1,5.34,5.38,5.28,5.33,10495110,55754148
2023/9/4,5.36,5.41,5.3,5.33,14444000,76977544
2023/9/5,5.34,5.35,5.26,5.3,10741320,56848408
2023/9/6,5.28,5.32,5.25,5.3,10291628,54401620
2023/9/7,5.29,5.31,5.15,5.16,15143100,78979808
2023/9/8,5.13,5.22,5.13,5.16,14139000,73080216
2023/9/11,5.15,5.28,5.1,5.24,15389456,80195520
2023/9/12,5.25,5.29,5.23,5.26,9038866,47514500
